"Mercy (Mercy, #1)"	Lucian Bane	4.1	1109	1442477879s/25230946	25230946-mercy

"The Hidden (The Hollow, #3)"	Jessica Verday	4.14	7534	1442354542s/9918128	9918128-the-hidden

"Counterpoint (Song of the Fallen, #1)"	Rachel Haimowitz	3.82	2497	1280926579s/8748031	8748031-counterpoint

"Yellow, Volume 02"	Makoto Tateno	4.13	820	1388468419s/273790	273790.Yellow_Volume_02

"The Gates of Neptune (Seven Sleepers, #2)"	Gilbert L. Morris	3.81	477	1388640846s/359677	359677.The_Gates_of_Neptune

The Perfect Ghost	Linda Barnes	3.15	1268	1351561398s/15793282	15793282-the-perfect-ghost

"The Brutal Telling (Chief Inspector Armand Gamache, #5)"	Louise Penny	4.23	18223	1327952311s/6449551	6449551-the-brutal-telling

"My Fair Temptress (Governess Brides, #8)"	Christina Dodd	3.81	1506	1175191174s/490419	490419.My_Fair_Temptress

Portret van een jongeman	J.M. Coetzee	3.79	4411	1460293035s/9441277	9441277-portret-van-een-jongeman

"Hunter Brown and the Secret of the Shadow (Codebearers, #1)"	Christopher Miller	4.09	316	1347943192s/4495772	4495772-hunter-brown-and-the-secret-of-the-shadow

"Little Orphan Anvil (Little Orphan Anvil, #1)"	Joseph Beekman	4.66	67	1318462537s/12862773	12862773-little-orphan-anvil

"The Last Dance (Carter House Girls, #8)"	Melody Carlson	4.04	466	1438211506s/6785316	6785316-the-last-dance

"Deep Zone (Football Genius, #5)"	Tim Green	4.43	950	1403366688s/10429527	10429527-deep-zone

"Torture to Her Soul (Monster in His Eyes, #2)"	J.M. Darhower	4.24	10843	1410779359s/22021942	22021942-torture-to-her-soul

"Loyalty and Lies (Chastity Falls, #1)"	L.A. Cotton	4.11	816	1419010665s/23948135	23948135-loyalty-and-lies

"Death Comes for the Fat Man (Dalziel & Pascoe, #22)"	Reginald Hill	4.16	2377	1389106801s/221679	221679.Death_Comes_for_the_Fat_Man

"A Morbid Taste for Bones (Chronicles of Brother Cadfael, #1)"	Ellis Peters	3.99	22447	1296427936s/321545	321545.A_Morbid_Taste_for_Bones

"The Walking Dead, Vol. 13: Too Far Gone"	Robert Kirkman	4.23	10399	1393479579s/9018370	9018370-the-walking-dead-vol-13

"Unbroken: A World War II Story of Survival, Resilience, and Redemption"	Laura Hillenbrand	4.43	410736	1327861115s/8664353	8664353-unbroken

"The Sweetest Thing (Lucky Harbor, #2)"	Jill Shalvis	4.13	15188	1323268445s/9275067	9275067-the-sweetest-thing

The Coldfire Trilogy: Black Sun Rising/ When True Night Falls/ Crown of Shadows	C.S. Friedman	4.54	203	1440502205s/11746475	11746475-the-coldfire-trilogy

Bernice Summerfield: Genius Loci	Ben Aaronovitch	4.04	27	1205031262s/1466282	1466282.Bernice_Summerfield

The Valley Of Decision	Marcia Davenport	4.23	266	1450235831s/136456	136456.The_Valley_Of_Decision

"Butterfly Weeds (Butterfly Weeds, #1)"	Laura     Miller	3.92	3104	1344217267s/15789177	15789177-butterfly-weeds

"Wicked Knight (Knight Brothers, #1)"	Tierney O'Malley	3.65	97	1339181809s/15561184	15561184-wicked-knight

í´íééíïésí´äóæí‚Œ±m	Mehmet Akif Ersoy	4.75	4	1315922016s/12607944	12607944-s-m

Viral Dawn	Ann Logsdon	3.48	21	1350142823s/16080744	16080744-viral-dawn

Amok	Stefan Zweig	4.13	3363	1277054116s/1421115	1421115.Amok

